,id,fullname,born,unique_price_years,unique_price_categories,gender,country_name
0,1,Wilhelm Conrad Röntgen,1845-03-27,{'1901'},{'physics'},male,Württemberg
1,2,Hendrik A. Lorentz,1853-07-18,{'1902'},{'physics'},male,the Netherlands
2,3,Pieter Zeeman,1865-05-25,{'1902'},{'physics'},male,the Netherlands
3,4,Henri Becquerel,1852-12-15,{'1903'},{'physics'},male,France
4,5,Pierre Curie,1859-05-15,{'1903'},{'physics'},male,France
5,6,Marie Curie,1867-11-07,"{'1911', '1903'}","{'physics', 'chemistry'}",female,Prussia
6,8,Lord Rayleigh,1842-11-12,{'1904'},{'physics'},male,United Kingdom
7,9,Philipp Lenard,1862-06-07,{'1905'},{'physics'},male,Slovakia
8,10,J.J. Thomson,1856-12-18,{'1906'},{'physics'},male,United Kingdom
9,11,Albert A. Michelson,1852-12-19,{'1907'},{'physics'},male,Prussia
10,12,Gabriel Lippmann,1845-08-16,{'1908'},{'physics'},male,Luxembourg
11,13,Guglielmo Marconi,1874-04-25,{'1909'},{'physics'},male,Tuscany
12,14,Ferdinand Braun,1850-06-06,{'1909'},{'physics'},male,Württemberg
13,15,Johannes Diderik van der Waals,1837-11-23,{'1910'},{'physics'},male,the Netherlands
14,16,Wilhelm Wien,1864-01-13,{'1911'},{'physics'},male,USSR
15,17,Gustaf Dalén,1869-11-30,{'1912'},{'physics'},male,Sweden
16,18,Heike Kamerlingh Onnes,1853-09-21,{'1913'},{'physics'},male,the Netherlands
17,19,Max von Laue,1879-10-09,{'1914'},{'physics'},male,Württemberg
18,20,William Bragg,1862-07-02,{'1915'},{'physics'},male,United Kingdom
19,21,Lawrence Bragg,1890-03-31,{'1915'},{'physics'},male,Australia
20,22,Charles Glover Barkla,1877-06-07,{'1917'},{'physics'},male,United Kingdom
21,23,Max Planck,1858-04-23,{'1918'},{'physics'},male,Württemberg
22,24,Johannes Stark,1874-04-15,{'1919'},{'physics'},male,Württemberg
23,25,Charles Edouard Guillaume,1861-02-15,{'1920'},{'physics'},male,Switzerland
24,26,Albert Einstein,1879-03-14,{'1921'},{'physics'},male,Württemberg
25,27,Niels Bohr,1885-10-07,{'1922'},{'physics'},male,Faroe Islands (Denmark)
26,28,Robert A. Millikan,1868-03-22,{'1923'},{'physics'},male,USA
27,29,Manne Siegbahn,1886-12-03,{'1924'},{'physics'},male,Sweden
28,30,James Franck,1882-08-26,{'1925'},{'physics'},male,Württemberg
29,31,Gustav Hertz,1887-07-22,{'1925'},{'physics'},male,Württemberg
30,32,Jean Baptiste Perrin,1870-09-30,{'1926'},{'physics'},male,France
31,33,Arthur H. Compton,1892-09-10,{'1927'},{'physics'},male,USA
32,34,C.T.R. Wilson,1869-02-14,{'1927'},{'physics'},male,United Kingdom
33,35,Owen Willans Richardson,1879-04-26,{'1928'},{'physics'},male,United Kingdom
34,36,Louis de Broglie,1892-08-15,{'1929'},{'physics'},male,France
35,37,Sir Chandrasekhara Venkata Raman,1888-11-07,{'1930'},{'physics'},male,India
36,38,Werner Heisenberg,1901-12-05,{'1932'},{'physics'},male,Württemberg
37,39,Erwin Schrödinger,1887-08-12,{'1933'},{'physics'},male,Austria
38,40,Paul A.M. Dirac,1902-08-08,{'1933'},{'physics'},male,United Kingdom
39,41,James Chadwick,1891-10-20,{'1935'},{'physics'},male,United Kingdom
40,42,Victor F. Hess,1883-06-24,{'1936'},{'physics'},male,Austria
41,43,Carl D. Anderson,1905-09-03,{'1936'},{'physics'},male,USA
42,44,Clinton Davisson,1881-10-22,{'1937'},{'physics'},male,USA
43,45,George Paget Thomson,1892-05-03,{'1937'},{'physics'},male,United Kingdom
44,46,Enrico Fermi,1901-09-29,{'1938'},{'physics'},male,Tuscany
45,47,Ernest Lawrence,1901-08-08,{'1939'},{'physics'},male,USA
46,48,Otto Stern,1888-02-17,{'1943'},{'physics'},male,Prussia
